stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\OneDrive - Estudiantes ITCR\Escritorio\Estructura\Proyecto de matrix\MatrixProyecto\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.01814] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01815] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01817] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01818] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01819] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01821] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01822] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01824] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01826] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01827] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01828] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.01830] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01831] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.01832] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01834] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.01835] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01837] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.01838] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01840] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.01841] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01843] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.01844] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.01845] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.01847] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01848] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01850] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01852] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01853] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01855] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01856] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01858] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01859] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01861] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01862] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01864] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01865] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01867] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01868] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01870] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01871] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01873] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01874] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01876] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01877] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01879] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01880] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01882] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01883] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01885] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01886] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01888] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01889] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01891] Single Buffer requirement not met.
